Time,Oxygen Level,Pulse Rate,Motion
07:19:05 PM May 01 2023,96,61,0
07:19:09 PM May 01 2023,96,60,6
07:19:13 PM May 01 2023,96,60,0
07:19:17 PM May 01 2023,96,60,0
07:19:21 PM May 01 2023,95,60,0
07:19:25 PM May 01 2023,95,60,0
07:19:29 PM May 01 2023,95,59,0
07:19:33 PM May 01 2023,95,59,0
07:19:37 PM May 01 2023,96,58,0
07:19:41 PM May 01 2023,96,58,0
07:19:45 PM May 01 2023,96,57,0
07:19:49 PM May 01 2023,96,57,0
07:19:53 PM May 01 2023,96,57,0
07:19:57 PM May 01 2023,96,57,0
07:20:01 PM May 01 2023,95,58,0
07:20:05 PM May 01 2023,95,60,0
07:20:09 PM May 01 2023,95,60,0
07:20:13 PM May 01 2023,95,60,0
07:20:17 PM May 01 2023,94,59,0
07:20:21 PM May 01 2023,94,59,0
07:20:25 PM May 01 2023,94,59,0
07:20:29 PM May 01 2023,94,59,0
07:20:33 PM May 01 2023,94,59,0
07:20:37 PM May 01 2023,93,59,0
07:20:41 PM May 01 2023,93,60,0
07:20:45 PM May 01 2023,93,60,0
07:20:49 PM May 01 2023,93,60,0
07:20:53 PM May 01 2023,93,61,0
07:20:57 PM May 01 2023,92,61,0
07:21:01 PM May 01 2023,92,62,10
07:21:05 PM May 01 2023,92,62,5
07:21:09 PM May 01 2023,92,62,0
07:21:13 PM May 01 2023,92,62,0
07:21:17 PM May 01 2023,92,61,0
07:21:21 PM May 01 2023,92,59,0
07:21:25 PM May 01 2023,92,58,0
07:21:29 PM May 01 2023,92,58,0
07:21:33 PM May 01 2023,93,58,0
07:21:37 PM May 01 2023,93,58,0
07:21:41 PM May 01 2023,93,59,0
07:21:45 PM May 01 2023,93,57,0
07:21:49 PM May 01 2023,93,58,0
07:21:53 PM May 01 2023,93,58,0
07:21:57 PM May 01 2023,94,57,4
07:22:01 PM May 01 2023,94,58,9
07:22:05 PM May 01 2023,94,58,11
07:22:09 PM May 01 2023,94,58,30
07:22:13 PM May 01 2023,95,63,0
07:22:17 PM May 01 2023,94,65,2
07:22:21 PM May 01 2023,96,65,0
07:22:25 PM May 01 2023,95,64,0
07:22:29 PM May 01 2023,93,62,0
07:22:33 PM May 01 2023,93,61,0
07:22:37 PM May 01 2023,93,60,0
07:22:41 PM May 01 2023,93,59,0
07:22:45 PM May 01 2023,93,52,0
07:22:49 PM May 01 2023,94,54,0
07:22:53 PM May 01 2023,94,60,0
07:22:57 PM May 01 2023,94,60,0
07:23:01 PM May 01 2023,94,60,0
07:23:05 PM May 01 2023,94,60,0
07:23:09 PM May 01 2023,93,62,10
07:23:13 PM May 01 2023,93,63,0
07:23:17 PM May 01 2023,93,62,0
07:23:21 PM May 01 2023,93,60,0
07:23:25 PM May 01 2023,93,60,0
07:23:29 PM May 01 2023,94,60,0
07:23:33 PM May 01 2023,94,60,0
07:23:37 PM May 01 2023,94,61,0
07:23:41 PM May 01 2023,94,61,0
07:23:45 PM May 01 2023,94,61,0
07:23:49 PM May 01 2023,94,61,0
07:23:53 PM May 01 2023,94,62,0
07:23:57 PM May 01 2023,94,62,0
07:24:01 PM May 01 2023,93,60,0
07:24:05 PM May 01 2023,94,60,0
07:24:09 PM May 01 2023,94,60,0
07:24:13 PM May 01 2023,94,59,0
07:24:17 PM May 01 2023,94,60,0
07:24:21 PM May 01 2023,94,60,0
07:24:25 PM May 01 2023,94,60,0
07:24:29 PM May 01 2023,94,58,0
07:24:33 PM May 01 2023,95,58,14
07:24:37 PM May 01 2023,95,58,0
07:24:41 PM May 01 2023,94,64,0
07:24:45 PM May 01 2023,94,66,0
07:24:49 PM May 01 2023,94,66,0
07:24:53 PM May 01 2023,94,60,0
07:24:57 PM May 01 2023,94,59,0
07:25:01 PM May 01 2023,94,59,0
07:25:05 PM May 01 2023,94,59,0
07:25:09 PM May 01 2023,94,59,0
07:25:13 PM May 01 2023,94,60,0
07:25:17 PM May 01 2023,94,60,0
07:25:21 PM May 01 2023,94,60,0
07:25:25 PM May 01 2023,94,60,0
07:25:29 PM May 01 2023,93,60,0
07:25:33 PM May 01 2023,93,59,0
07:25:37 PM May 01 2023,93,59,1
07:25:41 PM May 01 2023,93,60,0
07:25:45 PM May 01 2023,93,61,0
07:25:49 PM May 01 2023,93,62,0
07:25:53 PM May 01 2023,93,61,0
07:25:57 PM May 01 2023,92,59,0
07:26:01 PM May 01 2023,92,60,0
07:26:05 PM May 01 2023,92,61,0
07:26:09 PM May 01 2023,93,55,0
07:26:13 PM May 01 2023,93,54,0
07:26:17 PM May 01 2023,93,55,0
07:26:21 PM May 01 2023,93,61,0
07:26:25 PM May 01 2023,93,61,0
07:26:29 PM May 01 2023,93,60,0
07:26:33 PM May 01 2023,92,60,0
07:26:37 PM May 01 2023,92,60,0
07:26:41 PM May 01 2023,92,61,0
07:26:45 PM May 01 2023,92,62,0
07:26:49 PM May 01 2023,92,62,0
07:26:53 PM May 01 2023,92,61,0
07:26:57 PM May 01 2023,92,61,0
07:27:01 PM May 01 2023,92,61,0
07:27:05 PM May 01 2023,92,60,0
07:27:09 PM May 01 2023,92,60,0
07:27:13 PM May 01 2023,92,60,0
07:27:17 PM May 01 2023,92,59,0
07:27:21 PM May 01 2023,93,59,0
07:27:25 PM May 01 2023,93,61,1
07:27:29 PM May 01 2023,93,61,1
07:27:33 PM May 01 2023,93,62,1
07:27:37 PM May 01 2023,92,61,1
07:27:41 PM May 01 2023,92,61,1
07:27:45 PM May 01 2023,92,62,0
07:27:49 PM May 01 2023,93,61,0
07:27:53 PM May 01 2023,93,61,0
07:27:57 PM May 01 2023,93,60,1
07:28:01 PM May 01 2023,93,59,0
07:28:05 PM May 01 2023,93,58,1
07:28:09 PM May 01 2023,93,58,0
07:28:13 PM May 01 2023,93,60,0
07:28:17 PM May 01 2023,94,60,1
07:28:21 PM May 01 2023,93,60,12
07:28:25 PM May 01 2023,92,62,0
07:28:29 PM May 01 2023,92,62,0
07:28:33 PM May 01 2023,92,60,0
07:28:37 PM May 01 2023,92,59,0
07:28:41 PM May 01 2023,92,59,0
07:28:45 PM May 01 2023,92,58,9
07:28:49 PM May 01 2023,92,58,40
07:28:53 PM May 01 2023,92,59,0
07:28:57 PM May 01 2023,93,59,9
07:29:01 PM May 01 2023,93,59,15
07:29:05 PM May 01 2023,93,60,0
07:29:09 PM May 01 2023,92,61,0
07:29:13 PM May 01 2023,91,61,0
07:29:17 PM May 01 2023,91,61,0
07:29:21 PM May 01 2023,92,60,0
07:29:25 PM May 01 2023,92,60,0
07:29:29 PM May 01 2023,92,59,0
07:29:33 PM May 01 2023,92,59,0
