Time,Oxygen Level,Pulse Rate,Motion
12:52:57 AM Jun 08 2023,98,70,0
12:53:01 AM Jun 08 2023,98,69,0
12:53:05 AM Jun 08 2023,98,71,0
12:53:09 AM Jun 08 2023,98,71,4
12:53:13 AM Jun 08 2023,98,71,21
12:53:17 AM Jun 08 2023,98,71,19
12:53:21 AM Jun 08 2023,98,71,4
12:53:25 AM Jun 08 2023,98,71,46
12:53:29 AM Jun 08 2023,98,71,6
12:53:33 AM Jun 08 2023,98,71,4
12:53:37 AM Jun 08 2023,98,71,25
12:53:41 AM Jun 08 2023,98,71,46
12:53:45 AM Jun 08 2023,98,71,9
12:53:49 AM Jun 08 2023,98,71,48
12:53:53 AM Jun 08 2023,98,71,37
12:53:57 AM Jun 08 2023,98,71,13
12:54:01 AM Jun 08 2023,98,71,17
12:54:05 AM Jun 08 2023,98,71,0
12:54:09 AM Jun 08 2023,98,71,4
12:54:13 AM Jun 08 2023,98,71,0
12:54:17 AM Jun 08 2023,98,71,0
12:54:21 AM Jun 08 2023,98,71,0
12:54:25 AM Jun 08 2023,98,71,0
12:54:29 AM Jun 08 2023,98,71,0
12:54:33 AM Jun 08 2023,97,64,0
12:54:37 AM Jun 08 2023,97,65,0
12:54:41 AM Jun 08 2023,97,64,0
12:54:45 AM Jun 08 2023,97,63,0
12:54:49 AM Jun 08 2023,97,64,0
12:54:53 AM Jun 08 2023,97,64,0
12:54:57 AM Jun 08 2023,97,66,0
12:55:01 AM Jun 08 2023,97,66,0
12:55:05 AM Jun 08 2023,97,67,0
12:55:09 AM Jun 08 2023,98,66,0
12:55:13 AM Jun 08 2023,98,66,0
12:55:17 AM Jun 08 2023,98,66,0
12:55:21 AM Jun 08 2023,98,67,0
12:55:25 AM Jun 08 2023,98,67,0
12:55:29 AM Jun 08 2023,98,67,0
12:55:33 AM Jun 08 2023,98,67,0
12:55:37 AM Jun 08 2023,98,67,0
12:55:41 AM Jun 08 2023,98,67,0
12:55:45 AM Jun 08 2023,98,65,0
12:55:49 AM Jun 08 2023,98,65,0
12:55:53 AM Jun 08 2023,98,65,0
12:55:57 AM Jun 08 2023,98,66,0
12:56:01 AM Jun 08 2023,98,65,0
12:56:05 AM Jun 08 2023,98,65,0
12:56:09 AM Jun 08 2023,98,63,0
12:56:13 AM Jun 08 2023,98,62,0
12:56:17 AM Jun 08 2023,98,61,0
12:56:21 AM Jun 08 2023,98,62,0
12:56:25 AM Jun 08 2023,98,62,0
12:56:29 AM Jun 08 2023,98,63,0
12:56:33 AM Jun 08 2023,98,64,8
12:56:37 AM Jun 08 2023,98,64,7
12:56:41 AM Jun 08 2023,98,67,0
12:56:45 AM Jun 08 2023,98,68,0
