Time,Oxygen Level,Pulse Rate,Motion
03:20:30 Aug 01 2023,97,53,1
03:20:34 Aug 01 2023,97,54,0
03:20:38 Aug 01 2023,97,53,1
03:20:42 Aug 01 2023,97,53,0
03:20:46 Aug 01 2023,97,53,0
03:20:50 Aug 01 2023,97,53,0
03:20:54 Aug 01 2023,97,55,1
03:20:58 Aug 01 2023,97,55,0
03:21:02 Aug 01 2023,97,54,0
03:21:06 Aug 01 2023,97,53,0
03:21:10 Aug 01 2023,97,53,0
03:21:14 Aug 01 2023,97,52,0
03:21:18 Aug 01 2023,97,53,1
03:21:22 Aug 01 2023,97,52,0
03:21:26 Aug 01 2023,97,53,0
03:21:30 Aug 01 2023,97,53,0
03:21:34 Aug 01 2023,97,53,0
03:21:38 Aug 01 2023,97,53,0
03:21:42 Aug 01 2023,97,53,0
03:21:46 Aug 01 2023,97,53,0
03:21:50 Aug 01 2023,97,53,0
03:21:54 Aug 01 2023,97,53,0
03:21:58 Aug 01 2023,97,54,0
03:22:02 Aug 01 2023,97,55,0
03:22:06 Aug 01 2023,97,56,0
03:22:10 Aug 01 2023,97,56,0
03:22:14 Aug 01 2023,97,53,0
03:22:18 Aug 01 2023,97,54,0
03:22:22 Aug 01 2023,97,54,0
03:22:26 Aug 01 2023,97,54,0
03:22:30 Aug 01 2023,97,55,0
03:22:34 Aug 01 2023,97,54,0
03:22:38 Aug 01 2023,97,53,0
03:22:42 Aug 01 2023,97,53,0
03:22:46 Aug 01 2023,97,54,0
03:22:50 Aug 01 2023,97,53,0
03:22:54 Aug 01 2023,97,53,0
03:22:58 Aug 01 2023,97,53,1
03:23:02 Aug 01 2023,97,52,0
03:23:06 Aug 01 2023,97,52,0
03:23:10 Aug 01 2023,97,52,0
03:23:14 Aug 01 2023,97,51,0
03:23:18 Aug 01 2023,97,51,0
03:23:22 Aug 01 2023,97,51,0
03:23:26 Aug 01 2023,97,51,0
03:23:30 Aug 01 2023,97,53,0
03:23:34 Aug 01 2023,97,54,0
03:23:38 Aug 01 2023,97,54,0
03:23:42 Aug 01 2023,97,54,0
03:23:46 Aug 01 2023,97,53,0
03:23:50 Aug 01 2023,97,52,0
03:23:54 Aug 01 2023,97,51,0
03:23:58 Aug 01 2023,97,51,0
03:24:02 Aug 01 2023,97,51,0
03:24:06 Aug 01 2023,97,54,0
03:24:10 Aug 01 2023,97,53,0
03:24:14 Aug 01 2023,96,52,0
03:24:18 Aug 01 2023,96,50,0
03:24:22 Aug 01 2023,97,51,0
03:24:26 Aug 01 2023,97,53,0
03:24:30 Aug 01 2023,97,55,0
03:24:34 Aug 01 2023,97,54,0
03:24:38 Aug 01 2023,97,54,0
03:24:42 Aug 01 2023,97,54,0
03:24:46 Aug 01 2023,97,53,0
03:24:50 Aug 01 2023,97,52,0
03:24:54 Aug 01 2023,97,53,0
03:24:58 Aug 01 2023,97,53,0
03:25:02 Aug 01 2023,97,53,0
03:25:06 Aug 01 2023,97,53,0
03:25:10 Aug 01 2023,97,53,0
03:25:14 Aug 01 2023,97,53,0
03:25:18 Aug 01 2023,97,53,0
03:25:22 Aug 01 2023,97,54,0
03:25:26 Aug 01 2023,97,53,0
03:25:30 Aug 01 2023,97,53,0
03:25:34 Aug 01 2023,97,54,0
03:25:38 Aug 01 2023,97,54,0
03:25:42 Aug 01 2023,97,55,0
03:25:46 Aug 01 2023,97,55,0
03:25:50 Aug 01 2023,97,54,0
03:25:54 Aug 01 2023,97,54,0
03:25:58 Aug 01 2023,97,53,0
03:26:02 Aug 01 2023,97,54,0
03:26:06 Aug 01 2023,97,53,0
03:26:10 Aug 01 2023,97,53,0
03:26:14 Aug 01 2023,97,52,0
03:26:18 Aug 01 2023,97,54,0
03:26:22 Aug 01 2023,97,53,0
03:26:26 Aug 01 2023,97,53,0
03:26:30 Aug 01 2023,97,53,0
03:26:34 Aug 01 2023,97,53,0
03:26:38 Aug 01 2023,97,53,0
03:26:42 Aug 01 2023,97,54,0
03:26:46 Aug 01 2023,97,53,0
03:26:50 Aug 01 2023,97,54,0
03:26:54 Aug 01 2023,97,54,1
03:26:58 Aug 01 2023,97,57,0
03:27:02 Aug 01 2023,97,55,0
03:27:06 Aug 01 2023,97,55,0
03:27:10 Aug 01 2023,97,53,0
03:27:14 Aug 01 2023,97,54,1
03:27:18 Aug 01 2023,97,55,0
03:27:22 Aug 01 2023,97,54,0
03:27:26 Aug 01 2023,97,54,0
03:27:30 Aug 01 2023,97,53,0
03:27:34 Aug 01 2023,97,53,0
03:27:38 Aug 01 2023,97,52,0
03:27:42 Aug 01 2023,97,52,0
03:27:46 Aug 01 2023,97,54,0
03:27:50 Aug 01 2023,97,54,0
03:27:54 Aug 01 2023,97,53,0
03:27:58 Aug 01 2023,97,53,0
03:28:02 Aug 01 2023,97,52,0
03:28:06 Aug 01 2023,97,53,0
03:28:10 Aug 01 2023,97,53,0
03:28:14 Aug 01 2023,97,55,0
03:28:18 Aug 01 2023,97,54,0
03:28:22 Aug 01 2023,97,53,0
03:28:26 Aug 01 2023,97,51,0
03:28:30 Aug 01 2023,97,52,0
03:28:34 Aug 01 2023,97,53,0
03:28:38 Aug 01 2023,97,54,0
03:28:42 Aug 01 2023,97,53,0
03:28:46 Aug 01 2023,97,52,0
03:28:50 Aug 01 2023,97,51,0
03:28:54 Aug 01 2023,97,52,1
03:28:58 Aug 01 2023,97,52,1
03:29:02 Aug 01 2023,97,52,0
03:29:06 Aug 01 2023,97,52,0
03:29:10 Aug 01 2023,97,53,0
03:29:14 Aug 01 2023,97,52,0
03:29:18 Aug 01 2023,97,52,0
03:29:22 Aug 01 2023,97,51,0
03:29:26 Aug 01 2023,97,51,0
03:29:30 Aug 01 2023,97,50,0
03:29:34 Aug 01 2023,97,52,0
03:29:38 Aug 01 2023,97,52,0
03:29:42 Aug 01 2023,97,52,1
03:29:46 Aug 01 2023,97,51,0
03:29:50 Aug 01 2023,97,51,0
03:29:54 Aug 01 2023,97,50,0
03:29:58 Aug 01 2023,97,51,0
03:30:02 Aug 01 2023,97,52,0
03:30:06 Aug 01 2023,97,51,0
03:30:10 Aug 01 2023,97,51,0
03:30:14 Aug 01 2023,97,52,0
03:30:18 Aug 01 2023,97,53,0
03:30:22 Aug 01 2023,97,53,0
03:30:26 Aug 01 2023,97,53,0
03:30:30 Aug 01 2023,97,53,0
03:30:34 Aug 01 2023,97,53,0
03:30:38 Aug 01 2023,97,53,0
03:30:42 Aug 01 2023,97,51,0
03:30:46 Aug 01 2023,97,51,0
03:30:50 Aug 01 2023,97,53,0
03:30:54 Aug 01 2023,97,54,0
03:30:58 Aug 01 2023,97,52,0
03:31:02 Aug 01 2023,97,52,0
03:31:06 Aug 01 2023,97,52,0
03:31:10 Aug 01 2023,97,53,0
03:31:14 Aug 01 2023,97,54,0
03:31:18 Aug 01 2023,97,54,0
03:31:22 Aug 01 2023,97,53,0
03:31:26 Aug 01 2023,97,53,0
03:31:30 Aug 01 2023,97,53,0
03:31:34 Aug 01 2023,97,54,1
03:31:38 Aug 01 2023,97,54,0
03:31:42 Aug 01 2023,97,53,0
03:31:46 Aug 01 2023,97,52,0
03:31:50 Aug 01 2023,97,52,0
03:31:54 Aug 01 2023,97,52,0
03:31:58 Aug 01 2023,97,52,0
03:32:02 Aug 01 2023,97,52,0
03:32:06 Aug 01 2023,97,52,0
03:32:10 Aug 01 2023,97,51,0
03:32:14 Aug 01 2023,97,51,0
03:32:18 Aug 01 2023,97,52,0
03:32:22 Aug 01 2023,97,51,0
03:32:26 Aug 01 2023,97,51,0
03:32:30 Aug 01 2023,97,50,0
03:32:34 Aug 01 2023,97,51,0
03:32:38 Aug 01 2023,97,52,0
03:32:42 Aug 01 2023,97,52,0
03:32:46 Aug 01 2023,97,52,0
03:32:50 Aug 01 2023,97,53,0
03:32:54 Aug 01 2023,97,54,0
03:32:58 Aug 01 2023,97,53,0
03:33:02 Aug 01 2023,97,52,0
03:33:06 Aug 01 2023,97,53,0
03:33:10 Aug 01 2023,97,53,0
03:33:14 Aug 01 2023,97,52,0
03:33:18 Aug 01 2023,97,51,0
03:33:22 Aug 01 2023,97,52,0
03:33:26 Aug 01 2023,97,53,0
03:33:30 Aug 01 2023,97,54,0
03:33:34 Aug 01 2023,97,55,0
03:33:38 Aug 01 2023,97,53,0
03:33:42 Aug 01 2023,97,53,0
03:33:46 Aug 01 2023,97,52,0
03:33:50 Aug 01 2023,97,52,0
03:33:54 Aug 01 2023,97,52,0
03:33:58 Aug 01 2023,97,51,0
03:34:02 Aug 01 2023,97,51,0
03:34:06 Aug 01 2023,97,52,0
03:34:10 Aug 01 2023,97,53,0
03:34:14 Aug 01 2023,97,53,0
03:34:18 Aug 01 2023,97,53,0
03:34:22 Aug 01 2023,97,52,0
03:34:26 Aug 01 2023,97,51,0
03:34:30 Aug 01 2023,97,50,0
03:34:34 Aug 01 2023,97,51,0
03:34:38 Aug 01 2023,97,52,0
03:34:42 Aug 01 2023,97,52,0
03:34:46 Aug 01 2023,97,51,0
03:34:50 Aug 01 2023,97,51,0
03:34:54 Aug 01 2023,97,52,0
03:34:58 Aug 01 2023,97,53,0
03:35:02 Aug 01 2023,97,52,0
03:35:06 Aug 01 2023,97,52,0
03:35:10 Aug 01 2023,97,52,0
03:35:14 Aug 01 2023,97,52,0
03:35:18 Aug 01 2023,97,52,0
03:35:22 Aug 01 2023,97,51,0
03:35:26 Aug 01 2023,97,51,0
03:35:30 Aug 01 2023,97,52,0
03:35:34 Aug 01 2023,97,51,0
03:35:38 Aug 01 2023,97,51,0
03:35:42 Aug 01 2023,97,51,0
03:35:46 Aug 01 2023,97,51,0
03:35:50 Aug 01 2023,97,52,0
03:35:54 Aug 01 2023,97,52,0
03:35:58 Aug 01 2023,97,52,0
03:36:02 Aug 01 2023,97,51,1
03:36:06 Aug 01 2023,97,50,0
03:36:10 Aug 01 2023,97,52,0
03:36:14 Aug 01 2023,97,53,0
03:36:18 Aug 01 2023,97,53,0
03:36:22 Aug 01 2023,97,52,0
03:36:26 Aug 01 2023,97,51,0
03:36:30 Aug 01 2023,97,51,0
03:36:34 Aug 01 2023,97,52,0
03:36:38 Aug 01 2023,97,52,0
03:36:42 Aug 01 2023,97,52,0
03:36:46 Aug 01 2023,97,52,0
03:36:50 Aug 01 2023,97,51,0
03:36:54 Aug 01 2023,97,52,0
03:36:58 Aug 01 2023,97,52,0
03:37:02 Aug 01 2023,97,52,0
03:37:06 Aug 01 2023,97,51,0
03:37:10 Aug 01 2023,97,52,0
03:37:14 Aug 01 2023,97,52,0
03:37:18 Aug 01 2023,97,52,0
03:37:22 Aug 01 2023,97,52,0
03:37:26 Aug 01 2023,97,53,0
03:37:30 Aug 01 2023,97,52,0
03:37:34 Aug 01 2023,97,52,0
03:37:38 Aug 01 2023,97,52,0
03:37:42 Aug 01 2023,97,52,0
03:37:46 Aug 01 2023,97,52,0
03:37:50 Aug 01 2023,97,52,0
03:37:54 Aug 01 2023,97,51,0
03:37:58 Aug 01 2023,97,50,0
03:38:02 Aug 01 2023,97,50,0
03:38:06 Aug 01 2023,97,52,0
03:38:10 Aug 01 2023,97,53,0
03:38:14 Aug 01 2023,97,53,0
03:38:18 Aug 01 2023,97,52,0
03:38:22 Aug 01 2023,97,52,0
03:38:26 Aug 01 2023,97,56,0
03:38:30 Aug 01 2023,97,57,0
03:38:34 Aug 01 2023,97,57,0
03:38:38 Aug 01 2023,97,53,0
03:38:42 Aug 01 2023,97,52,0
03:38:46 Aug 01 2023,97,51,0
03:38:50 Aug 01 2023,97,52,0
03:38:54 Aug 01 2023,97,53,0
03:38:58 Aug 01 2023,97,53,0
03:39:02 Aug 01 2023,97,54,0
03:39:06 Aug 01 2023,97,53,0
03:39:10 Aug 01 2023,97,53,0
03:39:14 Aug 01 2023,97,52,0
03:39:18 Aug 01 2023,97,54,0
03:39:22 Aug 01 2023,97,54,0
03:39:26 Aug 01 2023,97,54,0
03:39:30 Aug 01 2023,97,53,0
03:39:34 Aug 01 2023,97,53,0
03:39:38 Aug 01 2023,97,52,0
03:39:42 Aug 01 2023,97,52,0
03:39:46 Aug 01 2023,97,53,0
03:39:50 Aug 01 2023,97,52,0
03:39:54 Aug 01 2023,97,52,0
03:39:58 Aug 01 2023,97,51,0
03:40:02 Aug 01 2023,97,51,0
03:40:06 Aug 01 2023,97,52,0
03:40:10 Aug 01 2023,97,52,0
03:40:14 Aug 01 2023,97,53,0
03:40:18 Aug 01 2023,97,52,0
03:40:22 Aug 01 2023,97,52,0
03:40:26 Aug 01 2023,97,53,0
03:40:30 Aug 01 2023,97,52,0
03:40:34 Aug 01 2023,97,53,0
03:40:38 Aug 01 2023,97,54,0
03:40:42 Aug 01 2023,97,54,0
03:40:46 Aug 01 2023,97,53,0
03:40:50 Aug 01 2023,97,52,0
03:40:54 Aug 01 2023,97,52,0
03:40:58 Aug 01 2023,97,52,0
03:41:02 Aug 01 2023,97,52,0
03:41:06 Aug 01 2023,97,54,1
03:41:10 Aug 01 2023,97,56,0
03:41:14 Aug 01 2023,97,54,0
03:41:18 Aug 01 2023,97,53,0
03:41:22 Aug 01 2023,97,52,0
03:41:26 Aug 01 2023,97,52,0
03:41:30 Aug 01 2023,97,51,0
03:41:34 Aug 01 2023,97,51,1
03:41:38 Aug 01 2023,97,51,0
03:41:42 Aug 01 2023,97,51,0
03:41:46 Aug 01 2023,97,51,0
03:41:50 Aug 01 2023,97,52,0
03:41:54 Aug 01 2023,97,52,0
03:41:58 Aug 01 2023,97,52,0
03:42:02 Aug 01 2023,97,53,0
03:42:06 Aug 01 2023,97,52,0
03:42:10 Aug 01 2023,97,52,0
03:42:14 Aug 01 2023,97,51,0
03:42:18 Aug 01 2023,97,52,0
03:42:22 Aug 01 2023,97,51,0
03:42:26 Aug 01 2023,97,50,0
03:42:30 Aug 01 2023,97,52,0
